school,url
Goodwin College,http://www.goodwin.edu/
Gordon State College,http://www.gordonstate.edu/
Gordon College,http://www.gordon.edu/
Gordon-Conwell Theological Seminary,http://www.gordonconwell.edu/
Goshen College,http://www.goshen.edu/
Goucher College,http://www.goucher.edu/
Governors State University,http://www.govst.edu/
Grace Bible College,http://www.gbcol.edu/
Grace College & Seminary,http://www.grace.edu/
Grace University,https://www.graceuniversity.edu/
Graceland University,http://www.graceland.edu/
Graduate Institute of Applied Linguistics,http://www.gial.edu/
Graduate Theological Union,http://gtu.edu/
Grambling State University,http://www.gram.edu/
Grand Canyon University,http://www.gcu.edu/
Grand Valley State University,http://www.gvsu.edu/
Grand View University,http://www.grandview.edu/
Granite State College,http://www.granite.edu/
Gratz College,http://www.gratz.edu/
Great Basin College,http://www.gbcnv.edu/
Great Lakes Christian College,http://www.glcc.edu/
Green Mountain College,http://www.greenmtn.edu/
Greensboro College,http://www.greensboro.edu/
Greenville College,http://www.greenville.edu/
Grinnell College,http://www.grinnell.edu/
Grove City College,http://www.gcc.edu/
Guilford College,http://www.guilford.edu/
Gulf Coast State College,http://www.gulfcoast.edu/
Gustavus Adolphus College,http://gustavus.edu/
Gwynedd Mercy University,http://www.gmercyu.edu/
Icahn School of Medicine at Mount Sinai,http://icahn.mssm.edu/
Idaho State University,http://www.isu.edu/
Iliff School of Theology,http://www.iliff.edu/
Illinois College,http://www.ic.edu/
Illinois College of Optometry,http://www.ico.edu/
Illinois Institute of Art,https://www.artinstitutes.edu/chicago/
Illinois Institute of Art–Schaumburg,http://www.artinstitutes.edu/schaumburg/
Illinois Institute of Technology,http://www.iit.edu/
Illinois State University,http://illinoisstate.edu/
Illinois Wesleyan University,http://www.iwu.edu/
Immaculata University,http://www.immaculata.edu/
Indian River State College,http://www.irsc.edu/
Indiana Institute of Technology,http://www.indianatech.edu/
Indiana State University,http://www.indstate.edu/
Indiana University–Bloomington,http://www.iub.edu/
Indiana University–East,http://www.iue.edu/
Indiana University–Kokomo,http://www.iuk.edu/
Indiana University–Northwest,http://www.iun.edu/
Indiana University–South Bend,http://www.iusb.edu/
Indiana University–Southeast,http://www.ius.edu/
Indiana University System,http://www.indiana.edu/
Indiana University/Purdue University at Columbus,http://www.iupuc.edu/
Indiana University/Purdue University at Fort Wayne,http://www.ipfw.edu/
Indiana University/Purdue University at Indianapolis,http://www.iupui.edu/
Indiana University of Pennsylvania,http://www.iup.edu/
Indiana Wesleyan University,https://www.indwes.edu/
Institute for Clinical Social Work,http://www.icsw.edu/
Institute for the Psychological Sciences,http://ipsciences.edu/
Institute of American Indian Arts,http://www.iaia.edu/
Institute of World Politics,http://www.iwp.edu/
Interdenominational Theological Center,http://www.itc.edu/
Iona College,http://www.iona.edu/
Iowa State University,http://www.iastate.edu/
Iowa Wesleyan University,http://www.iw.edu/
Irell & Manella Graduate School of Biological Sciences,http://www.cityofhope.org/grad-school
Ithaca College,http://www.ithaca.edu/
Jackson State University,http://www.jsums.edu/
Jacksonville University,http://www.ju.edu/
Jacksonville State University,http://www.jsu.edu/
James Madison University,http://www.jmu.edu/
Jarvis Christian College,http://www.jarvis.edu/
Jefferson College of Health Sciences,http://www.jchs.edu/
The Jewish Theological Seminary of America,http://www.jtsa.edu/
John Brown University,http://www.jbu.edu/
John Carroll University,http://www.jcu.edu/
John F. Kennedy University,http://www.jfku.edu/
John Marshall Law School,http://www.jmls.edu/
Johns Hopkins University,https://www.jhu.edu/
Johnson University,http://www.johnsonu.edu/
Johnson University Florida,http://www.johnsonu.edu/florida/
Johnson C. Smith University,http://www.jcsu.edu/
Johnson State College,http://www.jsc.edu/
Johnson & Wales University,http://www.jwu.edu/
Jones International University,http://www.jiu.edu/
Judson College,http://www.judson.edu/
Judson University,http://www.judsonu.edu/
The Juilliard School,http://www.juilliard.edu/
Juniata College,http://www.juniata.edu/
La Roche College,http://www.laroche.edu/
La Salle University,http://www.lasalle.edu/
La Sierra University,http://lasierra.edu/
Labouré College,http://www.laboure.edu/
Lafayette College,https://www.lafayette.edu/
LaGrange College,http://www.lagrange.edu/
Laguna College of Art & Design,http://www.lcad.edu/
Lake Erie College,http://www.lec.edu/
Lake Erie College of Osteopathic Medicine,http://lecom.edu/
Lake Forest College,http://www.lakeforest.edu/
Lake Forest Graduate School of Management,http://www.lakeforestmba.edu/
Lake Superior State University,http://www.lssu.edu/
Lake-Sumter State College,http://www.lssc.edu/
Lakeland College,http://www.lakeland.edu/
Lakeview College of Nursing,http://www.lakeviewcol.edu/
Lamar University,http://www.lamar.edu/
Lancaster Bible College,http://www.lbc.edu/
Lancaster Theological Seminary,http://www.lancasterseminary.edu/
Lander University,http://www.lander.edu/
Landmark College,http://www.landmark.edu/
Lane College,http://www.lanecollege.edu/
Langston University,http://www.langston.edu/
Lasell College,http://www.lasell.edu/
Lawrence Technological University,http://www.ltu.edu/
Lawrence University,http://www.lawrence.edu/
Le Moyne College,http://lemoyne.edu/
Lebanon Valley College,http://www.lvc.edu/
Lee University,http://www.leeuniversity.edu/
Lees-McRae College,http://www.lmc.edu/
Lehigh University,http://www.lehigh.edu/
LeMoyne-Owen College,http://www.loc.edu/
Lenoir-Rhyne University,http://www.lr.edu/
Lesley University,http://www.lesley.edu/
LeTourneau University,http://www.letu.edu/
Lewis & Clark College,http://www.lclark.edu/
Lewis-Clark State College,http://www.lcsc.edu/
Lewis University,http://www.lewisu.edu/
Lexington College,http://www.lexingtoncollege.edu/
Liberty University,http://www.liberty.edu/
Life Pacific College,http://lifepacific.edu/
Life University,http://www.life.edu/
LIM College,http://www.limcollege.edu/
Limestone College,http://www.limestone.edu/
Lincoln Christian University,http://www.lincolnchristian.edu/
Lincoln College,http://lincolncollege.edu/
Lincoln College of New England,http://www.lincolncollegene.edu/
Lincoln Memorial University,http://www.lmunet.edu/
Lincoln University,http://www.lincolnu.edu/
Lincoln University,http://www.lincoln.edu/
Lindenwood University,http://www.lindenwood.edu/
Lindsey Wilson College,http://www.lindsey.edu/
Linfield College,http://www.linfield.edu/
Lipscomb University,http://www.lipscomb.edu/
Livingstone College,http://www.livingstone.edu/
Lock Haven University of Pennsylvania,http://www.lhup.edu/
Logan University,http://www.logan.edu/
Loma Linda University,http://www.llu.edu/
Long Island University,http://www.liu.edu/
